class_label,pred_classes,phase,max_final,min_risk,max_conf_margin,rescue_ppm,hit_N,true_c4_high_hits,false_hits,calib_c4_high_N,calib_c4_high_recall,low_calib_ratio
ethanol,0,any,20.0,2.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,2.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,2.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,4.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,4.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,6.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,20.0,6.0,1.0,250.0,1,1,0,6,0.16666666666666666,5.0
ethanol,0,any,20.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,20.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,2.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,2.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,4.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,4.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,6.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,6.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,30.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,30.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,2.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,2.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,4.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,4.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,6.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,6.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,any,50.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,any,50.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,20.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,30.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,1.0,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,1.0,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,1.0,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,main_response,50.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,2.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,2.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,4.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,4.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,6.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,6.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,20.0,6.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,recovery,20.0,6.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,2.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,2.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,2.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,2.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,4.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,4.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,4.0,0.9,200.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.9,225.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.9,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.7,200.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.7,225.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.7,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.2,200.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.2,225.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,4.0,0.2,250.0,0,0,0,6,0.0,
ethanol,0,recovery,30.0,6.0,1.0,200.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,6.0,1.0,225.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,6.0,1.0,250.0,1,1,0,6,0.16666666666666666,
ethanol,0,recovery,30.0,6.0,0.9,200.0,0,0,0,6,0.0,
